"Order number","Item sold","Cost per item","Quantity","Date"
"17595","Camera","499.99","1","01/04/2024"
"17596","Headphones","39.99","2","01/04/2024"
"17597","Camera","499.99","1","01/04/2024"
"17598","Camera","499.99","1","01/04/2024"
"17599","Charger","10.99","4","01/04/2024"
"17600","Smartwatch","289.99","1","01/04/2024"
"17601","Phone","699.99","1","02/04/2024"
"17602","Smartwatch","289.99","1","02/04/2024"
"17603","Headphones","39.99","3","02/04/2024"
"17604","Charger","10.99","1","02/04/2024"
"17605","Smartwatch","289.99","2","02/04/2024"
"17606","Charger","10.99","4","02/04/2024"
"17607","Charger","10.99","2","02/04/2024"
"17608","Camera","499.99","1","02/04/2024"
"17609","Headphones","39.99","1","03/04/2024"
"17610","Camera","499.99","1","03/04/2024"
"17611","Smartwatch","289.99","2","03/04/2024"
"17612","Phone","699.99","2","03/04/2024"
"17613","Laptop","999.99","1","03/04/2024"
"17614","Smartwatch","289.99","2","03/04/2024"
"17615","Phone","699.99","2","04/04/2024"
"17616","Charger","10.99","1","04/04/2024"
"17617","Phone","699.99","1","04/04/2024"
"17618","Smartwatch","289.99","2","04/04/2024"
"17619","Smartwatch","289.99","2","04/04/2024"
"17620","Smartwatch","289.99","1","04/04/2024"
"17621","Headphones","39.99","1","04/04/2024"
"17622","Camera","499.99","1","04/04/2024"
"17623","Phone","699.99","2","04/04/2024"
"17624","Laptop","999.99","1","04/04/2024"
"17625","Camera","499.99","1","04/04/2024"
"17626","Headphones","39.99","2","04/04/2024"
"17627","Charger","10.99","2","04/04/2024"
"17628","Smartwatch","289.99","2","05/04/2024"
"17629","Camera","499.99","1","05/04/2024"
"17630","Headphones","39.99","1","05/04/2024"
"17631","Charger","10.99","1","06/04/2024"
"17632","Smartwatch","289.99","2","06/04/2024"
"17633","Phone","699.99","1","06/04/2024"
"17634","Phone","699.99","2","07/04/2024"
"17635","Laptop","999.99","1","07/04/2024"
"17636","Camera","499.99","1","07/04/2024"
"17637","Camera","499.99","1","08/04/2024"
"17638","Smartwatch","289.99","2","08/04/2024"
"17639","Headphones","39.99","2","08/04/2024"
"17640","Phone","699.99","1","08/04/2024"
"17641","Headphones","39.99","3","08/04/2024"
"17642","Phone","699.99","2","08/04/2024"
"17643","Phone","699.99","1","09/04/2024"
"17644","Phone","699.99","2","09/04/2024"
"17645","Phone","699.99","1","09/04/2024"
"17646","Headphones","39.99","3","09/04/2024"
"17647","Headphones","39.99","2","09/04/2024"
"17648","Phone","699.99","2","09/04/2024"
"17649","Camera","499.99","1","10/04/2024"
"17650","Headphones","39.99","1","10/04/2024"
"17651","Camera","499.99","1","10/04/2024"
"17652","Charger","10.99","2","10/04/2024"
"17653","Phone","699.99","2","10/04/2024"
"17654","Phone","699.99","1","10/04/2024"
"17655","Laptop","999.99","1","11/04/2024"
"17656","Charger","10.99","4","11/04/2024"
"17657","Laptop","999.99","1","11/04/2024"
"17658","Camera","499.99","1","11/04/2024"
"17659","Camera","499.99","1","11/04/2024"
"17660","Headphones","39.99","1","12/04/2024"
"17661","Phone","699.99","2","12/04/2024"
"17662","Charger","10.99","1","13/04/2024"
"17663","Smartwatch","289.99","1","13/04/2024"
"17664","Laptop","999.99","1","13/04/2024"
"17665","Camera","499.99","1","13/04/2024"
"17666","Laptop","999.99","1","13/04/2024"
"17667","Charger","10.99","3","13/04/2024"
"17668","Smartwatch","289.99","2","14/04/2024"
"17669","Phone","699.99","1","14/04/2024"
"17670","Charger","10.99","1","14/04/2024"
"17671","Charger","10.99","4","14/04/2024"
"17672","Smartwatch","289.99","1","14/04/2024"
"17673","Camera","499.99","1","14/04/2024"
"17674","Phone","699.99","2","15/04/2024"
"17675","Camera","499.99","1","15/04/2024"
"17676","Charger","10.99","5","16/04/2024"
"17677","Laptop","999.99","1","16/04/2024"
"17678","Headphones","39.99","1","17/04/2024"
"17679","Smartwatch","289.99","1","17/04/2024"
"17680","Laptop","999.99","1","17/04/2024"
"17681","Camera","499.99","1","17/04/2024"
"17682","Phone","699.99","2","17/04/2024"
"17683","Laptop","999.99","1","18/04/2024"
"17684","Headphones","39.99","2","18/04/2024"
"17685","Laptop","999.99","1","18/04/2024"
"17686","Laptop","999.99","1","18/04/2024"
"17687","Camera","499.99","1","18/04/2024"
"17688","Laptop","999.99","1","18/04/2024"
"17689","Phone","699.99","1","18/04/2024"
"17690","Laptop","999.99","1","18/04/2024"
"17691","Smartwatch","289.99","2","18/04/2024"
"17692","Phone","699.99","1","18/04/2024"
"17693","Charger","10.99","2","19/04/2024"
"17694","Charger","10.99","2","19/04/2024"
"17695","Laptop","999.99","1","19/04/2024"
"17696","Laptop","999.99","1","19/04/2024"
"17697","Laptop","999.99","1","19/04/2024"
"17698","Headphones","39.99","1","19/04/2024"
"17699","Phone","699.99","1","20/04/2024"
"17700","Phone","699.99","1","20/04/2024"
"17701","Laptop","999.99","1","20/04/2024"
"17702","Smartwatch","289.99","1","20/04/2024"
"17703","Headphones","39.99","2","20/04/2024"
"17704","Camera","499.99","1","20/04/2024"
"17705","Phone","699.99","1","20/04/2024"
"17706","Smartwatch","289.99","1","20/04/2024"
"17707","Charger","10.99","1","20/04/2024"
"17708","Charger","10.99","3","20/04/2024"
"17709","Camera","499.99","1","20/04/2024"
"17710","Phone","699.99","2","21/04/2024"
"17711","Smartwatch","289.99","1","21/04/2024"
"17712","Camera","499.99","1","21/04/2024"
"17713","Charger","10.99","5","21/04/2024"
"17714","Headphones","39.99","2","21/04/2024"
"17715","Charger","10.99","2","21/04/2024"
"17716","Phone","699.99","2","21/04/2024"
"17717","Charger","10.99","3","21/04/2024"
"17718","Camera","499.99","1","21/04/2024"
"17719","Smartwatch","289.99","2","21/04/2024"
"17720","Laptop","999.99","1","21/04/2024"
"17721","Headphones","39.99","2","21/04/2024"
"17722","Camera","499.99","1","22/04/2024"
"17723","Smartwatch","289.99","1","22/04/2024"
"17724","Smartwatch","289.99","2","22/04/2024"
"17725","Phone","699.99","1","22/04/2024"
"17726","Charger","10.99","5","22/04/2024"
"17727","Phone","699.99","1","22/04/2024"
"17728","Camera","499.99","1","22/04/2024"
"17729","Headphones","39.99","3","23/04/2024"
"17730","Phone","699.99","1","23/04/2024"
"17731","Phone","699.99","1","23/04/2024"
"17732","Headphones","39.99","2","23/04/2024"
"17733","Charger","10.99","1","23/04/2024"
"17734","Laptop","999.99","1","24/04/2024"
"17735","Headphones","39.99","1","24/04/2024"
"17736","Camera","499.99","1","24/04/2024"
"17737","Camera","499.99","1","24/04/2024"
"17738","Charger","10.99","3","24/04/2024"
"17739","Headphones","39.99","2","24/04/2024"
"17740","Smartwatch","289.99","2","24/04/2024"
"17741","Headphones","39.99","3","24/04/2024"
"17742","Phone","699.99","1","24/04/2024"
"17743","Phone","699.99","2","25/04/2024"
"17744","Laptop","999.99","1","25/04/2024"
"17745","Camera","499.99","1","26/04/2024"
"17746","Laptop","999.99","1","26/04/2024"
"17747","Headphones","39.99","3","26/04/2024"
"17748","Laptop","999.99","1","26/04/2024"
"17749","Headphones","39.99","2","26/04/2024"
"17750","Phone","699.99","2","27/04/2024"
"17751","Charger","10.99","4","27/04/2024"
"17752","Charger","10.99","5","28/04/2024"
