"Order number","Item sold","Cost per item","Quantity","Date"
"17349","Charger","10.99","3","01/01/2024"
"17350","Charger","10.99","2","01/01/2024"
"17351","Charger","10.99","1","01/01/2024"
"17352","Headphones","39.99","1","02/01/2024"
"17353","Phone","699.99","2","02/01/2024"
"17354","Charger","10.99","1","03/01/2024"
"17355","Headphones","39.99","2","04/01/2024"
"17356","Smartwatch","289.99","2","04/01/2024"
"17357","Charger","10.99","2","05/01/2024"
"17358","Camera","499.99","1","06/01/2024"
"17359","Phone","699.99","2","06/01/2024"
"17360","Charger","10.99","2","06/01/2024"
"17361","Laptop","999.99","1","06/01/2024"
"17362","Smartwatch","289.99","2","07/01/2024"
"17363","Charger","10.99","3","07/01/2024"
"17364","Camera","499.99","1","07/01/2024"
"17365","Charger","10.99","5","08/01/2024"
"17366","Charger","10.99","1","08/01/2024"
"17367","Charger","10.99","5","09/01/2024"
"17368","Laptop","999.99","1","10/01/2024"
"17369","Charger","10.99","5","10/01/2024"
"17370","Headphones","39.99","1","10/01/2024"
"17371","Camera","499.99","1","10/01/2024"
"17372","Laptop","999.99","1","10/01/2024"
"17373","Headphones","39.99","2","10/01/2024"
"17374","Charger","10.99","2","10/01/2024"
"17375","Headphones","39.99","3","10/01/2024"
"17376","Charger","10.99","5","11/01/2024"
"17377","Laptop","999.99","1","11/01/2024"
"17378","Laptop","999.99","1","11/01/2024"
"17379","Smartwatch","289.99","1","11/01/2024"
"17380","Headphones","39.99","1","12/01/2024"
"17381","Camera","499.99","1","12/01/2024"
"17382","Phone","699.99","1","13/01/2024"
"17383","Smartwatch","289.99","1","13/01/2024"
"17384","Charger","10.99","1","13/01/2024"
"17385","Laptop","999.99","1","13/01/2024"
"17386","Charger","10.99","3","13/01/2024"
"17387","Phone","699.99","1","13/01/2024"
"17388","Phone","699.99","1","14/01/2024"
"17389","Laptop","999.99","1","14/01/2024"
"17390","Camera","499.99","1","14/01/2024"
"17391","Phone","699.99","1","15/01/2024"
"17392","Camera","499.99","1","15/01/2024"
"17393","Phone","699.99","2","15/01/2024"
"17394","Charger","10.99","5","15/01/2024"
"17395","Headphones","39.99","1","15/01/2024"
"17396","Camera","499.99","1","16/01/2024"
"17397","Smartwatch","289.99","1","16/01/2024"
"17398","Phone","699.99","2","16/01/2024"
"17399","Camera","499.99","1","17/01/2024"
"17400","Charger","10.99","3","17/01/2024"
"17401","Charger","10.99","2","18/01/2024"
"17402","Laptop","999.99","1","19/01/2024"
"17403","Headphones","39.99","3","20/01/2024"
"17404","Camera","499.99","1","20/01/2024"
"17405","Smartwatch","289.99","2","20/01/2024"
"17406","Camera","499.99","1","21/01/2024"
"17407","Laptop","999.99","1","21/01/2024"
"17408","Camera","499.99","1","21/01/2024"
"17409","Laptop","999.99","1","21/01/2024"
"17410","Camera","499.99","1","21/01/2024"
"17411","Phone","699.99","1","21/01/2024"
"17412","Charger","10.99","1","22/01/2024"
"17413","Phone","699.99","1","22/01/2024"
"17414","Headphones","39.99","1","23/01/2024"
"17415","Headphones","39.99","1","23/01/2024"
"17416","Charger","10.99","3","23/01/2024"
"17417","Headphones","39.99","3","25/01/2024"
"17418","Smartwatch","289.99","1","25/01/2024"
"17419","Laptop","999.99","1","25/01/2024"
"17420","Headphones","39.99","1","26/01/2024"
"17421","Camera","499.99","1","27/01/2024"
"17422","Headphones","39.99","2","27/01/2024"
"17423","Smartwatch","289.99","1","27/01/2024"
"17424","Charger","10.99","5","27/01/2024"
"17425","Smartwatch","289.99","2","27/01/2024"
"17426","Camera","499.99","1","28/01/2024"
"17427","Smartwatch","289.99","1","28/01/2024"
"17428","Charger","10.99","4","29/01/2024"
"17429","Laptop","999.99","1","29/01/2024"
"17430","Phone","699.99","1","29/01/2024"
"17431","Phone","699.99","1","30/01/2024"
"17432","Headphones","39.99","2","30/01/2024"
"17433","Smartwatch","289.99","2","31/01/2024"
"17434","Headphones","39.99","1","31/01/2024"
"17435","Headphones","39.99","2","31/01/2024"
"17436","Headphones","39.99","2","01/02/2024"
"17437","Headphones","39.99","2","01/02/2024"
"17438","Phone","699.99","1","01/02/2024"
"17439","Charger","10.99","5","02/02/2024"
"17440","Camera","499.99","1","02/02/2024"
"17441","Laptop","999.99","1","02/02/2024"
"17442","Camera","499.99","1","02/02/2024"
"17443","Camera","499.99","1","04/02/2024"
"17444","Laptop","999.99","1","04/02/2024"
"17445","Camera","499.99","1","04/02/2024"
"17446","Charger","10.99","5","04/02/2024"
"17447","Laptop","999.99","1","05/02/2024"
"17448","Charger","10.99","1","05/02/2024"
"17449","Smartwatch","289.99","1","06/02/2024"
"17450","Camera","499.99","1","06/02/2024"
"17451","Charger","10.99","1","06/02/2024"
"17452","Camera","499.99","1","07/02/2024"
"17453","Headphones","39.99","3","07/02/2024"
"17454","Charger","10.99","5","07/02/2024"
"17455","Headphones","39.99","2","08/02/2024"
"17456","Laptop","999.99","1","08/02/2024"
"17457","Camera","499.99","1","08/02/2024"
"17458","Camera","499.99","1","09/02/2024"
"17459","Phone","699.99","1","09/02/2024"
"17460","Headphones","39.99","3","09/02/2024"
"17461","Laptop","999.99","1","09/02/2024"
"17462","Charger","10.99","5","09/02/2024"
"17463","Smartwatch","289.99","2","10/02/2024"
"17464","Charger","10.99","5","11/02/2024"
"17465","Laptop","999.99","1","11/02/2024"
"17466","Camera","499.99","1","11/02/2024"
"17467","Headphones","39.99","1","12/02/2024"
"17468","Phone","699.99","2","12/02/2024"
"17469","Phone","699.99","2","12/02/2024"
"17470","Charger","10.99","3","13/02/2024"
"17471","Camera","499.99","1","13/02/2024"
"17472","Headphones","39.99","3","14/02/2024"
"17473","Headphones","39.99","1","14/02/2024"
"17474","Charger","10.99","1","14/02/2024"
"17475","Laptop","999.99","1","15/02/2024"
"17476","Headphones","39.99","2","15/02/2024"
"17477","Camera","499.99","1","15/02/2024"
"17478","Laptop","999.99","1","15/02/2024"
"17479","Smartwatch","289.99","1","15/02/2024"
"17480","Camera","499.99","1","16/02/2024"
"17481","Laptop","999.99","1","17/02/2024"
"17482","Smartwatch","289.99","2","18/02/2024"
"17483","Charger","10.99","2","18/02/2024"
"17484","Camera","499.99","1","18/02/2024"
"17485","Charger","10.99","5","18/02/2024"
"17486","Headphones","39.99","2","19/02/2024"
"17487","Smartwatch","289.99","1","19/02/2024"
"17488","Charger","10.99","4","20/02/2024"
"17489","Charger","10.99","1","20/02/2024"
"17490","Laptop","999.99","1","21/02/2024"
"17491","Charger","10.99","1","21/02/2024"
"17492","Charger","10.99","2","21/02/2024"
"17493","Headphones","39.99","1","22/02/2024"
"17494","Camera","499.99","1","22/02/2024"
"17495","Headphones","39.99","3","22/02/2024"
"17496","Smartwatch","289.99","1","23/02/2024"
"17497","Headphones","39.99","2","23/02/2024"
"17498","Charger","10.99","1","23/02/2024"
"17499","Phone","699.99","1","23/02/2024"
"17500","Laptop","999.99","1","23/02/2024"
"17501","Laptop","999.99","1","24/02/2024"
"17502","Laptop","999.99","1","24/02/2024"
"17503","Laptop","999.99","1","24/02/2024"
"17504","Charger","10.99","4","24/02/2024"
"17505","Headphones","39.99","1","24/02/2024"
"17506","Phone","699.99","2","24/02/2024"
"17507","Camera","499.99","1","24/02/2024"
"17508","Laptop","999.99","1","24/02/2024"
"17509","Phone","699.99","2","25/02/2024"
"17510","Charger","10.99","2","25/02/2024"
"17511","Camera","499.99","1","25/02/2024"
"17512","Phone","699.99","2","27/02/2024"
"17513","Headphones","39.99","1","27/02/2024"
"17514","Smartwatch","289.99","1","27/02/2024"
